who,title,invitedSpeaker,description,location,date,startTime,endTime,onlinemeeting,link,extra,lessonFolder
--,Weekly meeting ,FALSE,Planning meeting for the term,McLennan,2020-02-21,11:00,12:30,--,--,--,
Max Kharchenko,Introduction to object detection with convolutional neural networks,TRUE,Invited speaker Max Kharchenko from Denti.ai,McLennan,2020-02-28,11:00,12:30,--,--,--,
Jeremy,Weekly meeting ,FALSE,Intro to Transformers (RNNs in disguise),McLennan,2020-03-06,11:00,12:30,--,--,--,
Bring your laptops,Weekly meeting ,FALSE,Building a GAN together - Part 3,McLennan,2020-03-13,11:00,12:30,--,--,--,
Eugene,Weekly meeting ,FALSE,Quantum Annealers and Application in Protein Design,McLennan,2020-03-20,11:00,12:30,--,--,--,
Duncan,Weekly meeting ,FALSE,Reinforcement Learning - Deepmind's AlphaZero for chess (CANCELED),McLennan,2020-03-27,11:00,12:30,--,--,--,
--,Weekly meeting ,FALSE,"Winter term recap, Liam and Chris project discussion, summer term overview",Discord,2020-06-12,11:00,12:30,--,--,--,
--,Weekly meeting ,FALSE,InPCA discussion,Discord,2020-06-19,11:00,12:30,--,--,--,
--,Weekly meeting ,FALSE,Projects discussion,Discord,2020-06-26,11:00,12:30,--,--,--,
Eugene,Weekly meeting ,FALSE,Object detection discussion,Discord,2020-07-03,11:00,12:30,--,--,--,
--,Weekly meeting ,FALSE,GAN working session,Discord,2020-07-10,11:00,12:30,--,--,--,
--,Weekly meeting ,FALSE,GAN working session,Discord,2020-07-17,11:00,12:30,--,--,--,
--,Weekly meeting ,FALSE,Transformer discussion,Discord,2020-07-24,11:00,12:30,--,--,--,
--,Weekly meeting ,FALSE,Transformer discussion; Fang paper https://arxiv.org/abs/2002.08327,Discord,2020-07-31,11:00,12:30,--,https://arxiv.org/abs/2002.08327,--,
--,Weekly meeting ,FALSE,AlphaGo as an example of Reinforcement Learning,Discord,2020-09-18,11:00,12:30,--,--,--,
--,Weekly meeting ,FALSE,Intro to the OpenAI gym,Discord,2020-09-25,11:00,12:30,--,--,--,
Eugene,Weekly meeting ,FALSE,Graph Convolution Nets,Discord,2020-10-23,11:00,12:30,--,--,--,
--,Weekly meeting ,FALSE,Watch ML Theory lecture p1,Discord,2020-11-13,11:00,12:30,--,https://harvard.zoom.us/rec/play/EySUjPz2PkB-0Gr2wsmj8Wjz7anWT6H0nd09AOu41ewwSRgRkIIEEtfYbDkflvrTTmtpCJMaUHbHGefw.UlIUMW7646qJ2REh?startTime=1602263168000&_x_zm_rtaid=A_4Eql2xSFW4IjR5sGgmDg.1602574646696.036f59064b6c29b7b53ae6f243180af1&_x_zm_rhtaid=351&utm_medium=email&_hsmi=97274653&_hsenc=p2ANqtz-9MDOsfYxCm-8xl9L19LZCFOyymGXbpeuKU9N7_nSmSYjDkZxDlckChSEf0BYracpADldNFYFxCw2uoUjMlJRJOCXJbZu_NXoQmx1YEomfGvTHR_9U&utm_content=97274653&utm_source=hs_email,--,
--,Weekly meeting ,FALSE,Watch ML Theory lecture p2,Discord,2020-11-27,11:00,12:30,--,https://harvard.zoom.us/rec/play/EySUjPz2PkB-0Gr2wsmj8Wjz7anWT6H0nd09AOu41ewwSRgRkIIEEtfYbDkflvrTTmtpCJMaUHbHGefw.UlIUMW7646qJ2REh?startTime=1602263168000&_x_zm_rtaid=A_4Eql2xSFW4IjR5sGgmDg.1602574646696.036f59064b6c29b7b53ae6f243180af1&_x_zm_rhtaid=351&utm_medium=email&_hsmi=97274653&_hsenc=p2ANqtz-9MDOsfYxCm-8xl9L19LZCFOyymGXbpeuKU9N7_nSmSYjDkZxDlckChSEf0BYracpADldNFYFxCw2uoUjMlJRJOCXJbZu_NXoQmx1YEomfGvTHR_9U&utm_content=97274653&utm_source=hs_email,--,
--,Weekly meeting ,FALSE,Discussion: Reinforcment Learning (RL),Discord,2020-12-04,11:00,12:30,--,--,--,
--,Weekly meeting ,FALSE,"Group: make modular version of spinning up algorithms, with save/load/visualize",Discord,2020-12-11,11:00,12:30,--,--,--,
--,Weekly meeting ,FALSE,"Review of RL implementations, test run training under a time constraint",Discord,2020-12-18,11:00,12:30,--,--,--,
